unique_id,ds,LinearRegression,LinearRegression-lo-99,LinearRegression-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 19:30:00,5709965.008640448,5305162.652795003,6114767.3644858925
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 19:45:00,5678488.151963965,5248645.941583184,6108330.3623447465
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 20:00:00,5614765.190112102,5286488.442542303,5943041.9376819
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 20:15:00,5531007.492746669,5284615.584971848,5777399.40052149
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 20:30:00,5407727.152302507,5151839.527905453,5663614.776699562
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 20:45:00,5436730.0518719535,5218202.745036918,5655257.358706989
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 21:00:00,5265085.586687135,4909192.305161003,5620978.868213266
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 21:15:00,4948746.08070078,4599853.90038283,5297638.261018731
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 21:30:00,4883448.575359073,4505443.773237577,5261453.377480568
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 21:45:00,4785603.4467448285,4488197.998642362,5083008.894847295
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 22:00:00,4739721.352366366,4445052.5800612075,5034390.124671525
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 22:15:00,4632189.376880341,4376233.058018515,4888145.6957421675
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 22:30:00,4490304.017778452,4064654.529337339,4915953.506219564
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 22:45:00,4471475.772011548,4327897.022200686,4615054.521822411
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 23:00:00,4226655.5654933285,4054141.424564569,4399169.706422089
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 23:15:00,3989151.1911444454,3557875.889163047,4420426.493125843
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 23:30:00,3970774.4406848825,3390369.0259250854,4551179.85544468
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-16 23:45:00,3807509.8260983196,3174000.5463778805,4441019.105818758
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 00:00:00,3803989.660272616,3213677.9009279665,4394301.419617265
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 00:15:00,3822487.764595945,3060001.8951670364,4584973.634024853
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 00:30:00,3836225.5938014253,2887649.406893738,4784801.780709113
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 00:45:00,3909685.6608227636,3213402.671386541,4605968.650258987
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 01:00:00,3850437.845047956,3211039.6800332917,4489836.01006262
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 01:15:00,3833077.264019746,3129112.4984859247,4537042.029553566
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 01:30:00,3894558.2011764552,3454253.9378689555,4334862.464483955
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 01:45:00,3806360.813083396,3459847.2798685455,4152874.346298246
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 02:00:00,3865271.866693034,3500549.9581974517,4229993.775188616
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 02:15:00,3880276.570993764,3387328.628197697,4373224.513789831
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 02:30:00,3847476.67656704,3517881.3041013554,4177072.0490327245
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 02:45:00,3833315.119800272,3543179.558015344,4123450.6815851997
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 03:00:00,3834449.848191539,3671303.1973498515,3997596.499033226
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 03:15:00,3819097.2911984483,3498860.840864498,4139333.7415323984
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 03:30:00,3866034.4761604406,3504252.141370626,4227816.810950255
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 03:45:00,3819929.4304328966,3506354.4956644033,4133504.36520139
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 04:00:00,3835020.3324905788,3519048.5596985575,4150992.1052826
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 04:15:00,4052469.1106021404,3615706.50737894,4489231.713825341
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 04:30:00,4043683.317964141,3733054.656671649,4354311.979256633
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 04:45:00,4258478.7549338285,3861838.3474296266,4655119.16243803
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 05:00:00,4159001.639588238,3729985.432572698,4588017.846603778
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 05:15:00,4317615.8585459,3742412.302606741,4892819.41448506
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 05:30:00,4362476.787984979,3820387.530095024,4904566.045874935
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 05:45:00,4602511.999008554,4130365.864859185,5074658.133157923
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 06:00:00,4698961.75766618,4170306.9302422768,5227616.585090084
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 06:15:00,5086524.946353014,4560543.300186497,5612506.59251953
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 06:30:00,5188719.04049782,4850185.391534744,5527252.689460896
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 06:45:00,5380703.959478124,5004942.687551645,5756465.231404603
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 07:00:00,5518088.559123283,4956597.420632246,6079579.697614321
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 07:15:00,5745634.5284986915,5167963.40491585,6323305.652081533
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 07:30:00,6088707.106564972,5466444.040698097,6710970.172431846
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 07:45:00,6392351.004655247,5878397.815157988,6906304.194152505
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 08:00:00,6592558.362546075,6053321.35913985,7131795.3659523
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 08:15:00,6727977.28236641,6125847.8349365555,7330106.729796264
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 08:30:00,6920561.066687007,6457848.282875225,7383273.85049879
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 08:45:00,7093001.757364669,6679868.51196208,7506135.002767257
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 09:00:00,6961595.312910999,6444045.867739315,7479144.758082683
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 09:15:00,6929183.091265708,6316941.421665688,7541424.760865728
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 09:30:00,7058286.139283248,6649158.632200811,7467413.646365685
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 09:45:00,7101468.199150663,6696531.447203685,7506404.951097641
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 10:00:00,7063093.630068004,6638198.931640497,7487988.328495511
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 10:15:00,7130034.981213391,6608104.646220447,7651965.316206335
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 10:30:00,7139315.6793064885,6731931.78702563,7546699.571587347
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 10:45:00,7023567.36177768,6635446.106134703,7411688.617420657
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 11:00:00,7007415.080602449,6652716.795827149,7362113.365377749
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 11:15:00,6993101.008877188,6624364.303524238,7361837.714230138
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 11:30:00,6850720.2478366075,6440010.31254778,7261430.183125435
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 11:45:00,6805725.744223155,6339580.40326262,7271871.08518369
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 12:00:00,7003190.966261274,6539039.556528756,7467342.375993792
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 12:15:00,6771911.584527033,6285888.308612402,7257934.860441665
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 12:30:00,6945511.0967275575,6507303.846017203,7383718.347437912
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 12:45:00,6957635.304668011,6577092.741469859,7338177.867866163
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 13:00:00,7028389.401756914,6506174.435036902,7550604.368476926
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 13:15:00,6874850.76673225,6421410.831667242,7328290.701797259
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 13:30:00,6962776.420715465,6294863.668450971,7630689.172979959
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 13:45:00,7011856.132500016,6569748.973055854,7453963.291944178
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 14:00:00,7012380.368848193,6570720.740710145,7454039.996986242
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 14:15:00,6777400.646274991,6317101.621200171,7237699.671349811
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 14:30:00,6837909.676698302,6335754.2379958695,7340065.115400734
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 14:45:00,6735061.369125224,6343551.836837972,7126570.901412476
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 15:00:00,6615861.302586165,6332806.270027536,6898916.335144795
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 15:15:00,6772457.004095114,6523872.977307099,7021041.030883129
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 15:30:00,6573477.054717924,4575373.990406707,8571580.119029142
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 15:45:00,6772001.7766722925,4689039.269843307,8854964.283501277
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 16:00:00,6610733.08087762,4600497.925764055,8620968.235991184
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 16:15:00,6758278.332148381,5973278.445004333,7543278.219292428
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 16:30:00,6341726.341956448,5566264.684571339,7117187.999341557
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 16:45:00,6399007.175504826,5779931.656629689,7018082.694379963
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 17:00:00,6144929.893962201,5450541.776818248,6839318.011106153
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 17:15:00,6064006.832206206,5313054.911451725,6814958.7529606875
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 17:30:00,5799923.284372529,5249472.095779886,6350374.4729651725
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 17:45:00,5793962.626057454,5208357.164245748,6379568.087869161
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 18:00:00,5587373.674696801,5019700.360281154,6155046.989112449
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 18:15:00,5541988.29055704,5113474.561636457,5970502.019477623
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 18:30:00,5497047.444080635,4987546.233445666,6006548.654715604
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 18:45:00,5489398.228357542,4929447.643357813,6049348.813357271
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 19:00:00,5460658.816072939,4955211.447380963,5966106.184764915
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 19:15:00,5395610.308139374,4893847.882349317,5897372.73392943
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 19:30:00,5361873.855552859,5005621.44475485,5718126.266350867
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 19:45:00,5406098.765401958,5125485.39344502,5686712.1373588955
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 20:00:00,5357520.600450822,4998820.427962016,5716220.772939628
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 20:15:00,5195982.9289136175,4742826.163748016,5649139.694079219
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 20:30:00,4999072.8513613185,4590703.409333578,5407442.293389059
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 20:45:00,5147007.803557158,4807297.468871075,5486718.138243242
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 21:00:00,4963098.462779574,4572905.245877351,5353291.6796817975
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 21:15:00,4798491.520315493,4436104.428419411,5160878.612211576
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 21:30:00,4794570.067039906,4383769.164155685,5205370.969924127
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 21:45:00,4787896.975832996,4381632.134464063,5194161.817201929
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 22:00:00,4698530.348895929,4378359.67876391,5018701.019027947
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 22:15:00,4586700.456344255,4206885.8152498035,4966515.097438707
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 22:30:00,4416125.093415902,3766418.7022626963,5065831.484569108
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 22:45:00,4441535.46124303,3988204.006186039,4894866.91630002
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 23:00:00,4215545.256210314,3779507.3942127875,4651583.118207841
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 23:15:00,3945513.1573812505,3342340.3283985443,4548685.986363957
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 23:30:00,3896570.212738345,3117177.5909936186,4675962.834483071
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-17 23:45:00,3807580.583571276,2957562.262546539,4657598.904596013
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 00:00:00,3805542.0034793373,2829353.3171022763,4781730.689856398
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 00:15:00,3779614.1406343537,2802313.889570237,4756914.39169847
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 00:30:00,3837707.9809214114,2848906.8305619364,4826509.131280886
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 00:45:00,3926594.05555239,3068323.152208039,4784864.958896741
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 01:00:00,3805717.1289861803,3014159.931006881,4597274.32696548
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 01:15:00,3835863.6174512063,2996237.6814171067,4675489.553485306
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 01:30:00,3852328.344938896,3124576.157314093,4580080.532563699
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 01:45:00,3823206.1799626094,3115397.1037992467,4531015.256125972
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 02:00:00,3881098.2207028647,3093204.3987050373,4668992.042700691
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 02:15:00,3838335.8989631194,3071620.1238957,4605051.674030539
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 02:30:00,3789102.0391296907,2987452.5213018893,4590751.556957492
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 02:45:00,3850246.743881437,3113137.4900828605,4587355.997680014
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 03:00:00,3806365.923728529,2802848.5298651643,4809883.317591894
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 03:15:00,3760508.958986095,2804028.1188459606,4716989.79912623
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-18 03:30:00,3898666.0656620064,3005357.9281080524,4791974.2032159595
