unique_id,ds,LinearRegression,MLPRegressor,LinearRegression-lo-99,LinearRegression-hi-99,MLPRegressor-lo-99,MLPRegressor-hi-99
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 21:30:00,4730631.672069421,4769678.3267575875,3339687.4056268334,6121575.93851201,2985361.936943579,6553994.716571596
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 21:45:00,4705749.924686112,4713223.564924707,3451905.742568527,5959594.106803698,2912796.478955645,6513650.650893768
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 22:00:00,4488667.002904693,4540310.364775489,3166573.851154086,5810760.154655299,2949038.9208841347,6131581.808666844
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 22:15:00,4217334.808098224,4253479.144396123,3077503.368621586,5357166.247574862,2204808.7266624053,6302149.562129839
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 22:30:00,4454425.172228273,4484199.5100098895,3041219.9796811645,5867630.364775381,2831473.035603305,6136925.984416474
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 22:45:00,4601122.9272402935,4691507.513806973,3223151.4078116855,5979094.4466689015,2693923.1358274464,6689091.891786499
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 23:00:00,4373650.017741249,4441675.530147518,2998598.3467995715,5748701.688682927,1859916.38111814,7023434.679176896
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 23:15:00,4086644.7830740754,4149010.2409509253,2651927.6536864163,5521361.912461733,1767229.2184672488,6530791.263434602
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 23:30:00,4412298.502339408,4518112.37842525,2877275.5995628377,5947321.405115978,2178806.070689469,6857418.686161031
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-13 23:45:00,4357153.603243427,4484022.812957519,2805792.8743911046,5908514.332095751,2355137.890901038,6612907.735014
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 00:00:00,4035193.5673685214,4165084.0681962506,2876702.400163149,5193684.734573893,1560160.831597117,6770007.3047953835
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 00:15:00,4352464.358498813,4418839.132700932,2909995.036874708,5794933.6801229175,1877682.131171252,6959996.134230613
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 00:30:00,4352457.12630312,4439306.245953653,2984925.887402495,5719988.365203744,1745133.2357055536,7133479.256201752
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 00:45:00,4308763.92442458,4321885.99612572,2996706.321288963,5620821.527560197,1703041.6559437034,6940730.336307738
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 01:00:00,4116195.564196027,4169505.241709246,2863029.9449118357,5369361.183480218,1829597.6205998166,6509412.862818674
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 01:15:00,4365068.857768222,4426071.410617009,3088472.2494136305,5641665.466122813,1668039.0389012913,7184103.782332727
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 01:30:00,4374964.782598022,4399634.182115919,2907867.5506177926,5842062.014578252,1987748.9403711243,6811519.423860714
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 01:45:00,4245432.4333112845,4274377.752772219,2642272.3764054296,5848592.49021714,1456918.2406773036,7091837.264867133
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 02:00:00,4380329.021993158,4370835.970347196,2864951.5720176874,5895706.471968629,2211451.209576438,6530220.731117954
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 02:15:00,4412426.3714015465,4468901.71823713,2811565.2667841716,6013287.4760189215,2439423.3074501725,6498380.129024087
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 02:30:00,4373966.700019587,4419094.098767519,2788882.8482262427,5959050.551812931,1992982.9987186815,6845205.198816356
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 02:45:00,4504904.334030749,4483480.904083998,3040748.606791254,5969060.061270244,2254883.035193589,6712078.772974407
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 03:00:00,4188518.2774858233,4197203.03718453,2318088.2581135733,6058948.296858073,2472141.3203274435,5922264.754041617
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 03:15:00,4499914.276233621,4503423.638892117,2210523.9000575813,6789304.652409661,3105069.726781263,5901777.551002971
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 03:30:00,4516738.73776007,4547662.335483863,2168073.295729101,6865404.179791039,3018754.589551931,6076570.081415795
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 03:45:00,4451914.66513225,4503796.669204272,1795222.476713664,7108606.8535508355,2963421.550929776,6044171.787478769
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 04:00:00,4086365.664266309,4158927.6336912094,1898368.5383322458,6274362.790200372,2631085.789874302,5686769.4775081165
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 04:15:00,4541568.898966324,4663779.875383981,2073253.4162201667,7009884.38171248,3126527.7483978802,6201032.002370081
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 04:30:00,4748324.74276475,4876653.963849603,2484185.935421662,7012463.550107838,3302628.24050893,6450679.687190277
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 04:45:00,4731660.532047647,4830112.811899947,2715689.045365757,6747632.018729538,3654177.53634241,6006048.087457485
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 05:00:00,4793984.380392676,5045700.274034544,2601023.1573833423,6986945.60340201,3957476.493750909,6133924.054318178
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 05:15:00,5117307.509378783,5280132.149687882,2663613.6843836294,7571001.334373937,4416601.274818563,6143663.0245572
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 05:30:00,5060239.591348766,5225075.393189633,2725927.3984957994,7394551.784201733,4323056.5998434415,6127094.186535825
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 05:45:00,4866553.026912327,5014426.829909514,2513753.769731564,7219352.28409309,4124189.4507702407,5904664.209048786
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 06:00:00,5170068.286818877,5305056.318861635,2617781.7824888346,7722354.791148919,4202169.183782353,6407943.453940918
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 06:15:00,5829021.883126432,6104228.739411506,3410308.4795899517,8247735.286662912,5092853.320426858,7115604.158396154
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 06:30:00,5743113.540209742,6139946.6327445125,3430180.903880537,8056046.176538948,5145552.955838054,7134340.309650971
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 06:45:00,5854652.232172199,6261505.351081404,3625001.978019606,8084302.486324791,5473916.02738341,7049094.674779397
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 07:00:00,6036733.9805985885,6398166.34928582,3738239.766366579,8335228.194830598,5580786.673180471,7215546.025391168
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 07:15:00,6523020.791819627,6800087.700884121,4384059.028390219,8661982.555249033,6042674.01467074,7557501.387097501
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 07:30:00,6584590.52659012,6844279.627401108,4598000.688297484,8571180.364882754,5973624.163845599,7714935.090956617
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 07:45:00,6737414.671431695,6956621.4285065355,4517293.019720999,8957536.32314239,6053284.779482307,7859958.077530764
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 08:00:00,6821886.461426934,7132787.925260885,4819739.564385077,8824033.358468791,6535282.429323333,7730293.421198436
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 08:15:00,7088776.32770144,7360346.159758882,5180950.285200379,8996602.370202502,6746665.408329035,7974026.911188728
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 08:30:00,6785455.329393167,7005823.968258263,4751380.160883721,8819530.497902611,6243327.10412387,7768320.832392655
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 08:45:00,7129158.216144672,7385783.430627282,4683961.056416092,9574355.37587325,6753161.537551705,8018405.323702859
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 09:00:00,7152798.152528456,7416837.245387021,4631194.417872916,9674401.887183998,6891373.941434331,7942300.549339712
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 09:15:00,7333430.00817392,7689280.291632947,4703045.584255259,9963814.432092583,6990803.543289331,8387757.039976562
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 09:30:00,7241905.179471611,7567639.289566413,4932774.349624743,9551036.009318478,7008191.281343954,8127087.297788871
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 09:45:00,7287162.226942605,7613429.0843815105,4657162.778691938,9917161.675193273,7039806.057277123,8187052.111485898
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 10:00:00,7415961.395677344,7741877.393157676,4931028.838191184,9900893.953163505,7395964.517916954,8087790.268398398
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 10:15:00,7270253.741481246,7627568.239806321,4701014.76297725,9839492.719985243,7029102.909486024,8226033.570126619
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 10:30:00,7318064.576007007,7719001.9781073965,5090085.609962445,9546043.54205157,7203396.80658728,8234607.149627513
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 10:45:00,7143113.976287881,7434958.574559008,5129062.173958285,9157165.778617477,6863463.522863316,8006453.626254699
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 11:00:00,7289311.55509581,7643836.718510348,5034890.13156497,9543732.97862665,7274187.6337469695,8013485.803273727
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 11:15:00,7388674.5943722855,7782382.1999724675,5283034.370767001,9494314.81797757,7297627.529045177,8267136.870899758
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 11:30:00,7145573.989585572,7463654.504693938,4934405.7455997355,9356742.233571406,7186694.565088826,7740614.444299051
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 11:45:00,7079370.782394913,7359404.320740635,5034238.47934178,9124503.085448047,6985506.309400868,7733302.3320804015
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 12:00:00,7102214.250852095,7378669.949366889,5230298.811936029,8974129.689768162,6891040.241008791,7866299.657724987
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 12:15:00,7402140.603538117,7660233.312246787,5577292.373723242,9226988.833352992,7024119.805911691,8296346.818581884
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 12:30:00,7263991.0259879,7618738.694573978,5167464.163009959,9360517.888965841,7209617.342736668,8027860.046411288
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 12:45:00,7012116.240818978,7363456.254445565,4663786.29268276,9360446.188955197,7072114.997190038,7654797.511701092
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 13:00:00,7326751.083899381,7695227.203460636,5074575.4818591345,9578926.685939627,7293130.171024778,8097324.235896493
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 13:15:00,7026661.0382894855,7306286.481767602,4806308.287368462,9247013.78921051,6897934.890430799,7714638.073104406
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 13:30:00,7162046.907372234,7565108.320295242,4998076.917673452,9326016.897071017,7009011.4251316395,8121205.215458844
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 13:45:00,7175243.720382813,7495654.214998827,4810276.945295685,9540210.495469943,7104122.434043673,7887185.995953982
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 14:00:00,7100030.249400984,7372578.794437707,4689511.82001443,9510548.678787535,7027471.006639541,7717686.582235874
ed010d2a-1530-4bfa-b8a2-463aeb224c25,2023-11-14 14:15:00,6979663.95252437,7238763.702083833,4734581.320983062,9224746.584065678,6761475.643060761,7716051.761106905
